English,Portuguese,Inupiaq,initial_presentation_cycles.thisRepN,initial_presentation_cycles.thisTrialN,initial_presentation_cycles.thisN,initial_presentation_cycles.thisIndex,initial_presentation_trials.thisRepN,initial_presentation_trials.thisTrialN,initial_presentation_trials.thisN,initial_presentation_trials.thisIndex,practice_phase_blocks.thisRepN,practice_phase_blocks.thisTrialN,practice_phase_blocks.thisN,practice_phase_blocks.thisIndex,practice_phase_cycles.thisRepN,practice_phase_cycles.thisTrialN,practice_phase_cycles.thisN,practice_phase_cycles.thisIndex,instr_msg.started,instr_resp.started,instr_resp.keys,instr_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,24.259010700000545,24.259010700000545,space,0.5575469999994311,,001,2022-07-26_10h48.12.001,finley_et_al,2022.2.1,None,
thread,fio,ivalu,0,0,0,0,0,0,0,11,,,,,,,,,,,,,,001,2022-07-26_10h48.12.001,finley_et_al,2022.2.1,None,
tea,chá,saiyu,0,0,0,0,0,1,1,10,,,,,,,,,,,,,,001,2022-07-26_10h48.12.001,finley_et_al,2022.2.1,None,
mark,marca,aglak,0,0,0,0,0,2,2,6,,,,,,,,,,,,,,001,2022-07-26_10h48.12.001,finley_et_al,2022.2.1,None,
kidney,rim,taqtu,0,0,0,0,0,3,3,5,,,,,,,,,,,,,,001,2022-07-26_10h48.12.001,finley_et_al,2022.2.1,None,
sled,trenó,uniat,0,0,0,0,0,4,4,8,,,,,,,,,,,,,,001,2022-07-26_10h48.12.001,finley_et_al,2022.2.1,None,
boot,bota,kamik,0,0,0,0,0,5,5,0,,,,,,,,,,,,,,001,2022-07-26_10h48.12.001,finley_et_al,2022.2.1,None,
rainbow,arco-íris,nigaq,0,0,0,0,0,6,6,7,,,,,,,,,,,,,,001,2022-07-26_10h48.12.001,finley_et_al,2022.2.1,None,
cliff,penhasco,ikpik,0,0,0,0,0,7,7,1,,,,,,,,,,,,,,001,2022-07-26_10h48.12.001,finley_et_al,2022.2.1,None,
snail,lesma,uvixu,0,0,0,0,0,8,8,9,,,,,,,,,,,,,,001,2022-07-26_10h48.12.001,finley_et_al,2022.2.1,None,
dust,pó,apyuq,0,0,0,0,0,9,9,3,,,,,,,,,,,,,,001,2022-07-26_10h48.12.001,finley_et_al,2022.2.1,None,
heaven,paraíso,qixak,0,0,0,0,0,10,10,4,,,,,,,,,,,,,,001,2022-07-26_10h48.12.001,finley_et_al,2022.2.1,None,
duck,pato,mitiq,0,0,0,0,0,11,11,2,,,,,,,,,,,,,,001,2022-07-26_10h48.12.001,finley_et_al,2022.2.1,None,
thread,fio,ivalu,1,0,1,0,0,0,0,11,,,,,,,,,,,,,,001,2022-07-26_10h48.12.001,finley_et_al,2022.2.1,None,
tea,chá,saiyu,1,0,1,0,0,1,1,10,,,,,,,,,,,,,,001,2022-07-26_10h48.12.001,finley_et_al,2022.2.1,None,
mark,marca,aglak,1,0,1,0,0,2,2,6,,,,,,,,,,,,,,001,2022-07-26_10h48.12.001,finley_et_al,2022.2.1,None,
kidney,rim,taqtu,1,0,1,0,0,3,3,5,,,,,,,,,,,,,,001,2022-07-26_10h48.12.001,finley_et_al,2022.2.1,None,
sled,trenó,uniat,1,0,1,0,0,4,4,8,,,,,,,,,,,,,,001,2022-07-26_10h48.12.001,finley_et_al,2022.2.1,None,
boot,bota,kamik,1,0,1,0,0,5,5,0,,,,,,,,,,,,,,001,2022-07-26_10h48.12.001,finley_et_al,2022.2.1,None,
rainbow,arco-íris,nigaq,1,0,1,0,0,6,6,7,,,,,,,,,,,,,,001,2022-07-26_10h48.12.001,finley_et_al,2022.2.1,None,
cliff,penhasco,ikpik,1,0,1,0,0,7,7,1,,,,,,,,,,,,,,001,2022-07-26_10h48.12.001,finley_et_al,2022.2.1,None,
snail,lesma,uvixu,1,0,1,0,0,8,8,9,,,,,,,,,,,,,,001,2022-07-26_10h48.12.001,finley_et_al,2022.2.1,None,
dust,pó,apyuq,1,0,1,0,0,9,9,3,,,,,,,,,,,,,,001,2022-07-26_10h48.12.001,finley_et_al,2022.2.1,None,
heaven,paraíso,qixak,1,0,1,0,0,10,10,4,,,,,,,,,,,,,,001,2022-07-26_10h48.12.001,finley_et_al,2022.2.1,None,
duck,pato,mitiq,1,0,1,0,0,11,11,2,,,,,,,,,,,,,,001,2022-07-26_10h48.12.001,finley_et_al,2022.2.1,None,
thread,fio,ivalu,2,0,2,0,0,0,0,11,,,,,,,,,,,,,,001,2022-07-26_10h48.12.001,finley_et_al,2022.2.1,None,
tea,chá,saiyu,2,0,2,0,0,1,1,10,,,,,,,,,,,,,,001,2022-07-26_10h48.12.001,finley_et_al,2022.2.1,None,
mark,marca,aglak,2,0,2,0,0,2,2,6,,,,,,,,,,,,,,001,2022-07-26_10h48.12.001,finley_et_al,2022.2.1,None,
kidney,rim,taqtu,2,0,2,0,0,3,3,5,,,,,,,,,,,,,,001,2022-07-26_10h48.12.001,finley_et_al,2022.2.1,None,
sled,trenó,uniat,2,0,2,0,0,4,4,8,,,,,,,,,,,,,,001,2022-07-26_10h48.12.001,finley_et_al,2022.2.1,None,
boot,bota,kamik,2,0,2,0,0,5,5,0,,,,,,,,,,,,,,001,2022-07-26_10h48.12.001,finley_et_al,2022.2.1,None,
rainbow,arco-íris,nigaq,2,0,2,0,0,6,6,7,,,,,,,,,,,,,,001,2022-07-26_10h48.12.001,finley_et_al,2022.2.1,None,
cliff,penhasco,ikpik,2,0,2,0,0,7,7,1,,,,,,,,,,,,,,001,2022-07-26_10h48.12.001,finley_et_al,2022.2.1,None,
snail,lesma,uvixu,2,0,2,0,0,8,8,9,,,,,,,,,,,,,,001,2022-07-26_10h48.12.001,finley_et_al,2022.2.1,None,
dust,pó,apyuq,2,0,2,0,0,9,9,3,,,,,,,,,,,,,,001,2022-07-26_10h48.12.001,finley_et_al,2022.2.1,None,
heaven,paraíso,qixak,2,0,2,0,0,10,10,4,,,,,,,,,,,,,,001,2022-07-26_10h48.12.001,finley_et_al,2022.2.1,None,
duck,pato,mitiq,2,0,2,0,0,11,11,2,,,,,,,,,,,,,,001,2022-07-26_10h48.12.001,finley_et_al,2022.2.1,None,
